Datetime,T2M,LSTM
08-05-2025 01:00:00,27.6,27.61166827
08-05-2025 02:00:00,28.13333333,28.36483748
08-05-2025 03:00:00,28.66666667,28.34210417
08-05-2025 04:00:00,29.2,29.28352464
08-05-2025 05:00:00,31.93333333,31.59551581
08-05-2025 06:00:00,34.66666667,34.39318759
08-05-2025 07:00:00,37.4,36.77092203
08-05-2025 08:00:00,38.4,37.98711754
08-05-2025 09:00:00,39.4,38.79550827
08-05-2025 10:00:00,40.4,39.96357621
08-05-2025 11:00:00,40,40.47120294
08-05-2025 12:00:00,39.6,39.17541591
08-05-2025 13:00:00,39.2,40.37723705
08-05-2025 14:00:00,37.36666667,37.58728514
08-05-2025 15:00:00,35.53333333,35.61599456
08-05-2025 16:00:00,33.7,33.31613073
08-05-2025 17:00:00,32.96666667,33.27985477
08-05-2025 18:00:00,32.23333333,31.97590027
08-05-2025 19:00:00,31.5,31.55456445
08-05-2025 20:00:00,30.76666667,31.91157128
08-05-2025 21:00:00,30.03333333,29.99037404
08-05-2025 22:00:00,29.3,29.81397066
08-05-2025 23:00:00,28.9,28.58552994
09-05-2025 00:00:00,28.5,28.48435267
09-05-2025 01:00:00,28.1,28.89192612
09-05-2025 02:00:00,29.03333333,28.75294514
09-05-2025 03:00:00,29.96666667,30.77721831
09-05-2025 04:00:00,30.9,31.21651629
09-05-2025 05:00:00,32.36666667,32.11512388
09-05-2025 06:00:00,33.83333333,34.11615467
09-05-2025 07:00:00,35.3,35.73493957
09-05-2025 08:00:00,34.4,34.67808187
09-05-2025 09:00:00,33.5,32.79777416
09-05-2025 10:00:00,32.6,32.27481437
09-05-2025 11:00:00,31.7,31.5893063
09-05-2025 12:00:00,30.8,30.76671236
09-05-2025 13:00:00,29.9,30.177573
09-05-2025 14:00:00,28.23333333,28.31280363
09-05-2025 15:00:00,26.56666667,25.96948252
09-05-2025 16:00:00,24.9,25.07002965
09-05-2025 17:00:00,24.7,24.97306225
09-05-2025 18:00:00,24.5,24.7503459
09-05-2025 19:00:00,24.3,24.78333983
09-05-2025 20:00:00,23.9,24.27294133
09-05-2025 21:00:00,23.5,23.70535157
09-05-2025 22:00:00,23.1,23.06862094
09-05-2025 23:00:00,22.76666667,22.02386236
10-05-2025 00:00:00,22.43333333,22.62546444
10-05-2025 01:00:00,22.1,22.19288076
10-05-2025 02:00:00,23.26666667,23.38812042
10-05-2025 03:00:00,24.43333333,23.86235401
10-05-2025 04:00:00,25.6,25.11653682
10-05-2025 05:00:00,28.43333333,28.9043176
10-05-2025 06:00:00,31.26666667,31.24897707
10-05-2025 07:00:00,34.1,34.40477638
10-05-2025 08:00:00,34.2,34.21266436
10-05-2025 09:00:00,34.3,34.31330735
10-05-2025 10:00:00,34.4,34.81961327
10-05-2025 11:00:00,34.26666667,34.03588445
10-05-2025 12:00:00,34.13333333,34.17631985
10-05-2025 13:00:00,34,33.79326421
10-05-2025 14:00:00,32.76666667,32.57235405
10-05-2025 15:00:00,31.53333333,31.39506735
10-05-2025 16:00:00,30.3,30.39934124
10-05-2025 17:00:00,29.7,29.48589711
10-05-2025 18:00:00,29.1,29.66159121
10-05-2025 19:00:00,28.5,28.09991945
10-05-2025 20:00:00,27.56666667,27.48309513
10-05-2025 21:00:00,26.63333333,26.43667962
10-05-2025 22:00:00,25.7,26.34710818
10-05-2025 23:00:00,25.7,25.78790197
11-05-2025 00:00:00,25.7,26.16145491
11-05-2025 01:00:00,25.7,25.0356372
11-05-2025 02:00:00,26.06666667,26.18609518
11-05-2025 03:00:00,26.43333333,26.83118832
11-05-2025 04:00:00,26.8,26.83679852
11-05-2025 05:00:00,29.33333333,29.80983064
11-05-2025 06:00:00,31.86666667,31.63532824
11-05-2025 07:00:00,34.4,35.03027934
11-05-2025 08:00:00,35.26666667,36.29476517
11-05-2025 09:00:00,36.13333333,35.97106699
11-05-2025 10:00:00,37,36.80076522
11-05-2025 11:00:00,36.66666667,37.31663997
11-05-2025 12:00:00,36.33333333,37.03973947
11-05-2025 13:00:00,36,35.76616989
11-05-2025 14:00:00,34.6,34.41208674
11-05-2025 15:00:00,33.2,33.07398209
11-05-2025 16:00:00,31.8,31.19874345
11-05-2025 17:00:00,31,30.58916636
11-05-2025 18:00:00,30.2,29.7509346
11-05-2025 19:00:00,29.4,29.05663049
11-05-2025 20:00:00,29.06666667,29.05115512
11-05-2025 21:00:00,28.73333333,28.83807734
11-05-2025 22:00:00,28.4,29.0934049
11-05-2025 23:00:00,28.13333333,27.68685583
12-05-2025 00:00:00,27.86666667,28.30686903
12-05-2025 01:00:00,27.6,27.50430128
12-05-2025 02:00:00,28.13333333,28.11121249
12-05-2025 03:00:00,28.66666667,28.96845512
12-05-2025 04:00:00,29.2,28.69790345
12-05-2025 05:00:00,30,30.17101884
12-05-2025 06:00:00,30.8,30.87443969
12-05-2025 07:00:00,31.6,31.8202309
12-05-2025 08:00:00,32.53333333,32.66265348
12-05-2025 09:00:00,33.46666667,34.56471027
12-05-2025 10:00:00,34.4,34.11479401
12-05-2025 11:00:00,34.46666667,34.22919761
12-05-2025 12:00:00,34.53333333,34.25465641
12-05-2025 13:00:00,34.6,34.35158308
12-05-2025 14:00:00,33.13333333,32.84828514
12-05-2025 15:00:00,31.66666667,32.19841103
12-05-2025 16:00:00,30.2,30.83526881
12-05-2025 17:00:00,29.26666667,29.01142117
12-05-2025 18:00:00,28.33333333,27.9610926
12-05-2025 19:00:00,27.4,27.61082345
12-05-2025 20:00:00,27,26.75303835
12-05-2025 21:00:00,26.6,26.88305571
12-05-2025 22:00:00,26.2,26.29074993
12-05-2025 23:00:00,25.66666667,24.98880529
