date,y_true,y_pred
12-09-2024,100689.89,100661.03
13-09-2024,100669.61,100715.51
14-09-2024,100564.484,100671.38
15-09-2024,100538.57,100620.625
16-09-2024,100593.56,100559.305
17-09-2024,100616.28,100583.18
18-09-2024,100437.86,100660.36
19-09-2024,100586.44,100594.266
20-09-2024,100513.86,100686.26
21-09-2024,100484.586,100581.234
22-09-2024,100478.38,100559.13
23-09-2024,100377.22,100525.01
24-09-2024,100303.75,100561.88
25-09-2024,100336.125,100440.74
26-09-2024,100427.2,100499.41
27-09-2024,100614.945,100503.71
28-09-2024,100780.414,100726.61
29-09-2024,100920.34,100757.45
30-09-2024,100969.414,100862.17
01-10-2024,100799.14,100946.25
02-10-2024,100750.69,100836.64
03-10-2024,100680.81,100676.516
04-10-2024,100668.016,100559.09
05-10-2024,100721.79,100667.9
06-10-2024,100749.836,100663.17
07-10-2024,100935.5,100722.32
08-10-2024,101028.5,100992.33
09-10-2024,100905.33,101022.45
10-10-2024,100792.31,100916.39
11-10-2024,100729.234,100975.69
12-10-2024,100810.38,100973.98
13-10-2024,100849.79,100930.86
14-10-2024,100758.83,100930.72
15-10-2024,100672.586,100751.945
16-10-2024,100586.95,100767.21
17-10-2024,100598.47,100617.74
18-10-2024,100690.47,100652.04
19-10-2024,100830.67,100706.555
20-10-2024,101008.3,100730.516
21-10-2024,101001.04,100796.484
22-10-2024,101014.08,100978.625
23-10-2024,100876.35,100974.484
24-10-2024,100794.47,100816.08
25-10-2024,100785.82,100763.58
26-10-2024,100809.41,100800.07
27-10-2024,100769.69,100903.34
28-10-2024,100666.19,100900.91
29-10-2024,100755.13,100902.45
30-10-2024,100793.42,100924.36
31-10-2024,100932.695,100939.86
01-11-2024,101056.805,101012.8
02-11-2024,101126.43,101082.234
03-11-2024,101141.78,101110.28
04-11-2024,101057.77,101180.375
05-11-2024,101068.44,101164.34
06-11-2024,101014.61,101172.68
07-11-2024,100967.71,100984.33
08-11-2024,101020,100883.79
09-11-2024,101053.25,100996.33
10-11-2024,101056.555,101020.7
11-11-2024,100948.97,101014.73
12-11-2024,100814.36,100992.49
13-11-2024,100761.89,100988.84
14-11-2024,100914.555,100897.34
15-11-2024,101018.58,101004.45
16-11-2024,101002.87,101022.39
17-11-2024,100999.266,100996.02
18-11-2024,101000.92,101015.28
19-11-2024,101123.8,101011.11
20-11-2024,101111.625,101128.79
21-11-2024,101037.95,101126.42
22-11-2024,101074.35,101154.66
23-11-2024,101092.99,101136.54
24-11-2024,101179.6,101215.96
25-11-2024,101031.31,101264.34
26-11-2024,100860.16,101145.91
27-11-2024,100733.445,100945.11
28-11-2024,100656.82,100753.27
29-11-2024,100602.33,100563.266
30-11-2024,100261.52,100573.72
01-12-2024,100082.77,100201.99
02-12-2024,100398.61,100525.78
03-12-2024,100784.375,100708.68
04-12-2024,100933.484,100948.03
05-12-2024,101035.18,101021.055
06-12-2024,101055.62,101051.45
07-12-2024,101004.33,100898.09
08-12-2024,101044.48,101024.61
09-12-2024,100993.82,101060.59
10-12-2024,100923.266,101080.875
11-12-2024,100957.65,101077.07
12-12-2024,100826.016,100804.24
13-12-2024,100986.83,101017.805
14-12-2024,101179.195,101070.92
15-12-2024,101232,101151.74
16-12-2024,101208.99,101310.266
17-12-2024,100975.83,101218.555
18-12-2024,100918,100961.65
19-12-2024,100828.01,100896.35
20-12-2024,100734.23,100862.375
21-12-2024,100783.57,100847.6406
time,actual,predicted
22-12-2024,100976,100871.125
23-12-2024,101037.09,100861.2031
24-12-2024,100884.7,100830.7422
25-12-2024,100995.3,100806.6328
26-12-2024,101152.164,100791.6016
27-12-2024,101371.875,100785.0313
28-12-2024,101417.49,101368.125
29-12-2024,101389.91,101402.38
30-12-2024,101271.67,101369.195
31-12-2024,101391.414,101287.22
