date,y_pred,y_true
09-09-2024,100644.2,100487.17
10-09-2024,100578.11,100347.71
11-09-2024,100493.086,100435.69
12-09-2024,100479.914,100608.89
13-09-2024,100509.01,100657.61
14-09-2024,100594.28,100637.484
15-09-2024,100622.21,100681.57
16-09-2024,100680.21,100776.56
17-09-2024,100755.26,100871.28
18-09-2024,100811.38,100680.86
19-09-2024,100769.63,100704.44
20-09-2024,100691.03,100690.86
21-09-2024,100648.14,100762.586
22-09-2024,100610.39,100785.38
23-09-2024,100546.63,100654.22
24-09-2024,100506.94,100420.75
25-09-2024,100355.98,100360.125
26-09-2024,100358.66,100253.2
27-09-2024,100405.04,100215.945
28-09-2024,100399.73,100572.414
29-09-2024,100624.32,100886.34
30-09-2024,100841.72,100989.414
01-10-2024,100814.58,100787.14
02-10-2024,100671.32,100766.69
03-10-2024,100768.484,100876.81
04-10-2024,100834.86,100847.016
05-10-2024,100869.25,100893.79
06-10-2024,100859.01,100929.836
07-10-2024,100848.88,100922.5
08-10-2024,100745.766,100941.5
09-10-2024,100793.61,100797.33
10-10-2024,100828.445,100594.31
11-10-2024,100727.48,100519.734
12-10-2024,100735.38,100681.38
13-10-2024,100772.305,100815.79
14-10-2024,100838.42,100864.83
15-10-2024,100930.01,100809.586
16-10-2024,100948.02,100826.95
17-10-2024,100862.84,100652.47
18-10-2024,100696.83,100578.47
19-10-2024,100582.89,100855.67
20-10-2024,100812.15,101034.3
21-10-2024,101008,101030.04
22-10-2024,101087.234,101038.08
23-10-2024,101145.03,101042.35
24-10-2024,101107.37,100894.47
25-10-2024,100948.82,100939.82
26-10-2024,100941.4,101047.41
27-10-2024,100968.98,100969.69
28-10-2024,100934.94,100755.19
29-10-2024,100849.195,100826.13
30-10-2024,100855.23,100842.42
31-10-2024,100889.01,100958.695
01-11-2024,100875.99,101032.805
02-11-2024,100946.8,101151.43
03-11-2024,101032.016,101113.78
04-11-2024,101094.31,101045.77
05-11-2024,101012.66,101095.44
06-11-2024,101056.2,101192.61
07-11-2024,101110.625,101162.71
08-11-2024,101074.23,101154
09-11-2024,101098.44,101157.25
10-11-2024,101113.4,101188.555
11-11-2024,101135.89,101229.97
12-11-2024,101122.04,101105.36
13-11-2024,101133.67,100965.89
14-11-2024,101034.65,100975.555
15-11-2024,100999.89,101048.58
16-11-2024,101034.25,101072.87
17-11-2024,100992.28,100993.266
18-11-2024,100981.67,101064.92
19-11-2024,100959.04,101251.8
20-11-2024,101068.74,101168.625
21-11-2024,101094.7,101103.95
22-11-2024,101091.48,101087.35
23-11-2024,101088.56,101158.99
24-11-2024,101075.24,101197.6
25-11-2024,101120.6,101178.31
26-11-2024,101155.08,101236.16
27-11-2024,101167.7,101145.445
28-11-2024,101171.47,101086.82
29-11-2024,101159.37,101132.33
30-11-2024,101161.4,100983.52
01-12-2024,101105.664,100880.77
02-12-2024,101061.19,100687.61
03-12-2024,100968.18,100781.375
04-12-2024,100923.51,100895.484
05-12-2024,100876.21,100974.18
06-12-2024,100924.18,101014.62
07-12-2024,101000.6,101014.33
08-12-2024,101060.1,101040.48
09-12-2024,101090.945,101177.82
10-12-2024,101157.125,101091.266
11-12-2024,101179.14,101141.65
12-12-2024,101161.51,101038.016
13-12-2024,101145.82,101154.83
14-12-2024,101200.73,101213.195
15-12-2024,101225.85,101356
16-12-2024,101230.99,101248.99
17-12-2024,101219.016,101195.83
18-12-2024,101203.09,101049
19-12-2024,101150.44,101025.01
20-12-2024,101092.34,101053.23
21-12-2024,101118.1328,101054.57
time,predicted,actual
22-12-2024,101163.0078,101132
23-12-2024,101227.0938,101161.09
24-12-2024,101230.7188,101170.7
25-12-2024,101243.625,101232.3
26-12-2024,101260.0078,101332.164
27-12-2024,101266.9141,101387.875
28-12-2024,101289.28,101393.49
29-12-2024,101226.71,101407.91
30-12-2024,101279.97,101378.67
31-12-2024,101421.4,101408.414
