date,y_true,y_pred
09-09-2024,100544.875,100547.405206165
10-09-2024,100603.15,100609.799163681
11-09-2024,100698.83,100694.812775498
12-09-2024,100487.17,100491.063945285
13-09-2024,100347.71,100364.661152627
14-09-2024,100435.69,100456.196263788
15-09-2024,100608.89,100629.359679605
16-09-2024,100657.61,100665.305830278
17-09-2024,100637.484,100648.554447911
18-09-2024,100681.57,100690.096259066
19-09-2024,100776.56,100794.093144466
20-09-2024,100871.28,100881.126853833
21-09-2024,100680.86,100689.758892433
22-09-2024,100704.44,100709.617173305
23-09-2024,100690.86,100699.620173179
24-09-2024,100762.586,100774.20849156
25-09-2024,100785.38,100777.10407401
26-09-2024,100654.22,100635.635185879
27-09-2024,100420.75,100409.288058449
28-09-2024,100360.125,100374.106306336
29-09-2024,100253.2,100253.452062494
30-09-2024,100215.945,100218.913028127
01-10-2024,100572.414,100601.646472119
02-10-2024,100886.34,100903.140099963
03-10-2024,100989.414,100991.748461481
04-10-2024,100787.14,100786.788672291
05-10-2024,100766.69,100767.092372098
06-10-2024,100876.81,100880.183534531
07-10-2024,100847.016,100854.565697018
08-10-2024,100893.79,100901.536562622
09-10-2024,100929.836,100941.590143045
10-10-2024,100922.5,100933.669283966
11-10-2024,100941.5,100921.852642479
12-10-2024,100797.33,100791.687550093
13-10-2024,100594.31,100588.731223191
14-10-2024,100519.734,100531.525148616
15-10-2024,100681.38,100685.963506658
16-10-2024,100815.79,100828.02742924
17-10-2024,100864.83,100873.480416213
18-10-2024,100809.586,100828.962469928
19-10-2024,100826.95,100820.716814807
20-10-2024,100652.47,100635.254603747
21-10-2024,100578.47,100578.492928674
22-10-2024,100855.67,100848.626624857
23-10-2024,101034.3,101039.50012185
24-10-2024,101030.04,101032.603142828
25-10-2024,101038.08,101050.282224779
26-10-2024,101042.35,101038.268122718
27-10-2024,100894.47,100891.337329406
28-10-2024,100939.82,100955.94620033
29-10-2024,101047.41,101067.383608036
30-10-2024,100969.69,100974.339413567
31-10-2024,100755.19,100751.200742918
01-11-2024,100826.13,100816.644193864
02-11-2024,100842.42,100826.4956821
03-11-2024,100958.695,100937.917284817
04-11-2024,101032.805,101026.037988324
05-11-2024,101151.43,101146.026973617
06-11-2024,101113.78,101104.871066087
07-11-2024,101045.77,101039.009151496
08-11-2024,101095.44,101089.938443114
09-11-2024,101192.61,101186.377963632
10-11-2024,101162.71,101161.036262046
11-11-2024,101154,101148.907356033
12-11-2024,101157.25,101146.943473757
13-11-2024,101188.555,101162.839492471
14-11-2024,101229.97,101204.888857974
15-11-2024,101105.36,101089.430112246
16-11-2024,100965.89,100951.968828309
17-11-2024,100975.555,100960.486790611
18-11-2024,101048.58,101041.360078087
19-11-2024,101072.87,101028.558722466
20-11-2024,100993.266,100960.27403095
21-11-2024,101064.92,101046.939504627
22-11-2024,101251.8,101243.111307922
23-11-2024,101168.625,101163.406820354
24-11-2024,101103.95,101091.29943669
25-11-2024,101087.35,101072.97848086
26-11-2024,101158.99,101147.408868166
27-11-2024,101197.6,101171.894344226
28-11-2024,101178.31,101157.425966594
29-11-2024,101236.16,101214.158300364
30-11-2024,101145.445,101122.026108713
01-12-2024,101086.82,101062.224799304
02-12-2024,101132.33,101102.787324499
03-12-2024,100983.52,100973.122416069
04-12-2024,100880.77,100875.379401504
05-12-2024,100687.61,100679.848882699
06-12-2024,100781.375,100772.89030564
07-12-2024,100895.484,100891.323970209
08-12-2024,100974.18,100992.826447476
09-12-2024,101014.62,101008.409522254
10-12-2024,101014.33,101015.868213104
11-12-2024,101040.48,101022.961755488
12-12-2024,101177.82,101163.037190721
13-12-2024,101091.266,101079.019750599
14-12-2024,101141.65,101110.699524111
15-12-2024,101038.016,101014.247370462
16-12-2024,101154.83,101142.855891031
17-12-2024,101213.195,101230.575210518
18-12-2024,101356,101346.989461402
19-12-2024,101356,101346.989461402
20-12-2024,101356,101341.593619425
21-12-2024,101356,101336.813819474
time_forecast,Actual_forecast,forecast
22-12-2024,101356,101332.554446535
23-12-2024,101356,101328.739117337
24-12-2024,101356,101325.305971938
25-12-2024,101356,101322.204304684
26-12-2024,101356,101319.392105439
27-12-2024,101356,101316.834233453
28-12-2024,101356,101314.501039774
29-12-2024,101356,101312.367313358
30-12-2024,101356,101310.411464548
31-12-2024,101356,101308.614885167
