date,y_pred,y_true
09-09-2024,100674.78,100487.17
10-09-2024,100594.49,100347.71
11-09-2024,100471.53,100435.69
12-09-2024,100590.48,100608.89
13-09-2024,100643.586,100657.61
14-09-2024,100617.12,100637.484
15-09-2024,100645.586,100681.57
16-09-2024,100662.516,100776.56
17-09-2024,100825.36,100871.28
18-09-2024,100912.2,100680.86
19-09-2024,100668.125,100704.44
20-09-2024,100731.055,100690.86
21-09-2024,100682.81,100762.586
22-09-2024,100701.62,100785.38
23-09-2024,100593.83,100654.22
24-09-2024,100368.99,100420.75
25-09-2024,100222.55,100360.125
26-09-2024,100336.24,100253.2
27-09-2024,100422.15,100215.945
28-09-2024,100530.305,100572.414
29-09-2024,100713.94,100886.34
30-09-2024,100897.31,100989.414
01-10-2024,100894.32,100787.14
02-10-2024,100663.06,100766.69
03-10-2024,100834.75,100876.81
04-10-2024,100899.48,100847.016
05-10-2024,100848.3,100893.79
06-10-2024,100872.734,100929.836
07-10-2024,100961.69,100922.5
08-10-2024,100848.125,100941.5
09-10-2024,100798.97,100797.33
10-10-2024,100895.94,100594.31
11-10-2024,100788.87,100519.734
12-10-2024,100799.77,100681.38
13-10-2024,100854.57,100815.79
14-10-2024,100824.95,100864.83
15-10-2024,100835.81,100809.586
16-10-2024,100881.66,100826.95
17-10-2024,100888.78,100652.47
18-10-2024,100744.51,100578.47
19-10-2024,100633.91,100855.67
20-10-2024,100874.734,101034.3
21-10-2024,100982.55,101030.04
22-10-2024,101012.79,101038.08
23-10-2024,101037.52,101042.35
24-10-2024,101072.2,100894.47
25-10-2024,100991.055,100939.82
26-10-2024,101048.37,101047.41
27-10-2024,101036.68,100969.69
28-10-2024,100954.945,100755.19
29-10-2024,100868.18,100826.13
30-10-2024,100884.766,100842.42
31-10-2024,100873.45,100958.695
01-11-2024,100886.58,101032.805
02-11-2024,100968.016,101151.43
03-11-2024,100993.21,101113.78
04-11-2024,101026.98,101045.77
05-11-2024,101007.195,101095.44
06-11-2024,101058.1,101192.61
07-11-2024,101056.04,101162.71
08-11-2024,101041.42,101154
09-11-2024,101024.62,101157.25
10-11-2024,101127.66,101188.555
11-11-2024,101114.29,101229.97
12-11-2024,101134.516,101105.36
13-11-2024,101102.75,100965.89
14-11-2024,101002.42,100975.555
15-11-2024,101003.555,101048.58
16-11-2024,101035.086,101072.87
17-11-2024,100956.875,100993.266
18-11-2024,100895.67,101064.92
19-11-2024,100920.87,101251.8
20-11-2024,101100.86,101168.625
21-11-2024,101148.86,101103.95
22-11-2024,101072.79,101087.35
23-11-2024,101106.23,101158.99
24-11-2024,101180.94,101197.6
25-11-2024,101171.64,101178.31
26-11-2024,101236.695,101236.16
27-11-2024,101291.07,101145.445
28-11-2024,101219.88,101086.82
29-11-2024,101228.95,101132.33
30-11-2024,101290.79,100983.52
01-12-2024,101175.69,100880.77
02-12-2024,101092.92,100687.61
03-12-2024,100892.98,100781.375
04-12-2024,100842.67,100895.484
05-12-2024,100866.16,100974.18
06-12-2024,100938.72,101014.62
07-12-2024,100958.48,101014.33
08-12-2024,101082.36,101040.48
09-12-2024,101213.125,101177.82
10-12-2024,101254.484,101091.266
11-12-2024,101275.805,101141.65
12-12-2024,101240.78,101038.016
13-12-2024,101210.766,101154.83
14-12-2024,101187.234,101213.195
15-12-2024,101208.95,101356
16-12-2024,101233.01,101248.99
17-12-2024,101227.78,101195.83
18-12-2024,101217.17,101049
19-12-2024,101154.95,101025.01
20-12-2024,101139.43,101053.23
21-12-2024,101164.625,101054.57
time,predicted,actual
22-12-2024,101151.98,101132
23-12-2024,101221.35,101161.09
24-12-2024,101242.78,101170.7
25-12-2024,101337.19,101232.3
26-12-2024,101345.65,101332.164
27-12-2024,101325.24,101387.875
28-12-2024,101367.81,101393.49
29-12-2024,101334.51,101407.91
30-12-2024,101318.27,101378.67
31-12-2024,101343.36,101408.414
