date,y_true,y_pred
09-09-2024,100544.875,100579.34690742
10-09-2024,100603.15,100653.43973169
11-09-2024,100698.83,100612.229148927
12-09-2024,100487.17,100402.487657738
13-09-2024,100347.71,100377.208497361
14-09-2024,100435.69,100537.074156894
15-09-2024,100608.89,100633.437969954
16-09-2024,100657.61,100649.337695038
17-09-2024,100637.484,100651.793850373
18-09-2024,100681.57,100750.466877679
19-09-2024,100776.56,100824.200580037
20-09-2024,100871.28,100805.573623623
21-09-2024,100680.86,100661.539683998
22-09-2024,100704.44,100679.583192669
23-09-2024,100690.86,100713.837276164
24-09-2024,100762.586,100844.367843256
25-09-2024,100785.38,100757.158793856
26-09-2024,100654.22,100611.395021408
27-09-2024,100420.75,100422.623223988
28-09-2024,100360.125,100294.939248949
29-09-2024,100253.2,100096.778613527
30-09-2024,100215.945,100239.94355364
01-10-2024,100572.414,100591.499301217
02-10-2024,100886.34,100967.785568727
03-10-2024,100989.414,100896.46922437
04-10-2024,100787.14,100747.221730985
05-10-2024,100766.69,100796.957027119
06-10-2024,100876.81,100871.71335968
07-10-2024,100847.016,100852.09839186
08-10-2024,100893.79,100890.417785148
09-10-2024,100929.836,100939.666572153
10-10-2024,100922.5,101023.506543104
11-10-2024,100941.5,101015.738363518
12-10-2024,100797.33,100723.257467036
13-10-2024,100594.31,100510.822859739
14-10-2024,100519.734,100507.886178334
15-10-2024,100681.38,100701.20914371
16-10-2024,100815.79,100807.593683546
17-10-2024,100864.83,100868.594377522
18-10-2024,100809.586,100912.353775792
19-10-2024,100826.95,100717.859924375
20-10-2024,100652.47,100527.971301624
21-10-2024,100578.47,100614.067036607
22-10-2024,100855.67,100904.6854149
23-10-2024,101034.3,101035.874523668
24-10-2024,101030.04,101061.053458201
25-10-2024,101038.08,101044.850850854
26-10-2024,101042.35,100975.956892693
27-10-2024,100894.47,100923.885981275
28-10-2024,100939.82,101006.030177109
29-10-2024,101047.41,101010.024978441
30-10-2024,100969.69,100872.152247989
31-10-2024,100755.19,100762.823363035
01-11-2024,100826.13,100839.462987154
02-11-2024,100842.42,100835.29058618
03-11-2024,100958.695,100994.753979075
04-11-2024,101032.805,101079.060462619
05-11-2024,101151.43,101088.594328053
06-11-2024,101113.78,101059.163070672
07-11-2024,101045.77,101007.477885575
08-11-2024,101095.44,101095.323573325
09-11-2024,101192.61,101175.274943901
10-11-2024,101162.71,101131.205719492
11-11-2024,101154,101133.208776468
12-11-2024,101157.25,101142.521367842
13-11-2024,101188.555,101178.269319726
14-11-2024,101229.97,101109.405875674
15-11-2024,101105.36,101027.554090991
16-11-2024,100965.89,100967.99048374
17-11-2024,100975.555,101024.481135064
18-11-2024,101048.58,101048.203821257
19-11-2024,101072.87,101062.444485835
20-11-2024,100993.266,101101.814094354
21-11-2024,101064.92,101177.313452322
22-11-2024,101251.8,101293.290142164
23-11-2024,101168.625,101168.572379485
24-11-2024,101103.95,101108.754916524
25-11-2024,101087.35,101169.945595568
26-11-2024,101158.99,101299.865356613
27-11-2024,101197.6,101273.537204309
28-11-2024,101178.31,101186.346949369
29-11-2024,101236.16,101226.429445463
30-11-2024,101145.445,101132.630130076
01-12-2024,101086.82,101105.135301334
02-12-2024,101132.33,101105.678271149
03-12-2024,100983.52,100958.852701923
04-12-2024,100880.77,100820.32872551
05-12-2024,100687.61,100696.950424921
06-12-2024,100781.375,100771.847047653
07-12-2024,100895.484,100928.976253344
08-12-2024,100974.18,101027.382360812
09-12-2024,101014.62,100988.382058218
10-12-2024,101014.33,100996.810420587
11-12-2024,101040.48,101170.363554189
12-12-2024,101177.82,101174.085821904
13-12-2024,101091.266,101129.22819032
14-12-2024,101141.65,101110.894652793
15-12-2024,101038.016,101164.042352799
16-12-2024,101154.83,101313.874967841
17-12-2024,101213.195,101284.210449164
18-12-2024,101356,101344.244926183
19-12-2024,101356,101344.244931091
20-12-2024,101356,101337.772663097
21-12-2024,101356,101333.062184543
time_forecast,Actual_forecast,forecast
22-12-2024,101356,101329.638359254
23-12-2024,101356,101327.152164002
24-12-2024,101356,101325.348131599
25-12-2024,101356,101324.039789357
26-12-2024,101356,101323.091309535
27-12-2024,101356,101322.403908256
28-12-2024,101356,101321.90582515
29-12-2024,101356,101321.544974711
30-12-2024,101356,101321.283575264
31-12-2024,101356,101321.09423314
