date,y_true,y_pred
09-09-2024,299.97995,299.5563965
10-09-2024,300.3767,302.461
11-09-2024,299.64932,301.74
12-09-2024,299.57346,301.41
13-09-2024,297.13605,300.48
14-09-2024,297.19513,300.69
15-09-2024,298.18573,299.72
16-09-2024,298.74698,299.74
17-09-2024,298.93774,299.0413513
18-09-2024,299.66476,297.6341858
19-09-2024,296.5415,298.6208191
20-09-2024,298.166,297.9390869
21-09-2024,299.03976,297.2686157
22-09-2024,300.0537,298.2355347
23-09-2024,300.0881,298.7932129
24-09-2024,300.7378,298.9655762
25-09-2024,301.2738,299.2181396
26-09-2024,299.93472,299.9485474
27-09-2024,299.62714,298.7053833
28-09-2024,297.38718,299.34021
29-09-2024,297.66937,298.2502136
30-09-2024,298.7424,298.3695679
01-10-2024,298.95667,298.7319031
02-10-2024,299.84955,299.0167847
03-10-2024,299.6806,298.9959717
04-10-2024,298.85236,298.4874878
05-10-2024,299.24042,297.5624084
06-10-2024,298.3748,297.7629395
07-10-2024,297.13025,296.2771606
08-10-2024,297.14917,296.1249084
09-10-2024,296.89688,296.8981628
10-10-2024,296.1217,296.4151001
11-10-2024,294.48407,295.0578918
12-10-2024,294.59937,295.2452087
13-10-2024,294.0234,294.6689758
14-10-2024,294.54282,293.4455872
15-10-2024,293.53748,293.103363
16-10-2024,293.4604,292.3410034
17-10-2024,295.2531,291.4946899
18-10-2024,294.32245,291.6756897
19-10-2024,294.91754,293.0428772
20-10-2024,295.3195,293.475769
21-10-2024,294.75116,292.9126282
22-10-2024,294.5487,292.9037781
23-10-2024,295.13516,293.1783142
24-10-2024,294.56934,292.3504028
25-10-2024,293.21405,292.6306763
26-10-2024,292.5134,292.0799866
27-10-2024,293.76114,292.3209229
28-10-2024,294.48676,294.011261
29-10-2024,294.86536,293.6071777
30-10-2024,295.1488,295.1565857
31-10-2024,295.83286,293.126709
01-11-2024,293.27106,291.9912415
02-11-2024,291.6394,290.1103821
03-11-2024,291.54822,291.7559509
04-11-2024,291.43927,290.4086914
05-11-2024,291.34808,290.1636047
06-11-2024,291.7384,292.1131287
07-11-2024,292.50793,291.1602478
08-11-2024,293.3464,291.232605
09-11-2024,293.60382,291.6899414
10-11-2024,293.80847,291.8740845
11-11-2024,292.65173,291.0456848
12-11-2024,292.54108,291.4468689
13-11-2024,291.6316,290.7115784
14-11-2024,290.67496,289.9186707
15-11-2024,291.1013,290.2753601
16-11-2024,290.11435,289.067627
17-11-2024,290.61804,288.9006042
18-11-2024,288.8036,288.0455322
19-11-2024,288.11127,286.6138306
20-11-2024,286.84186,285.0742188
21-11-2024,286.79672,286.8943787
22-11-2024,286.93112,287.28479
23-11-2024,287.1546,286.8292542
24-11-2024,287.51956,287.1555786
25-11-2024,288.20398,287.6670837
26-11-2024,287.31314,287.1367188
27-11-2024,286.95386,286.1948853
28-11-2024,285.7146,285.4445801
29-11-2024,285.4803,285.873291
30-11-2024,285.86206,286.4169312
01-12-2024,286.9933,285.6496277
02-12-2024,286.437,285.6584473
03-12-2024,286.27997,285.4740295
04-12-2024,288.00354,284.8674011
05-12-2024,285.21393,286.1800537
06-12-2024,284.38284,285.1648254
07-12-2024,283.69165,285.8610535
08-12-2024,283.77716,286.3912964
09-12-2024,284.45535,284.7814941
10-12-2024,283.37393,283.1031189
11-12-2024,281.588,283.7069702
12-12-2024,280.53967,286.6029663
13-12-2024,281.83426,284.6951294
14-12-2024,281.93726,283.1488953
15-12-2024,280.8782,282.8563538
16-12-2024,280.70435,283.2408447
17-12-2024,281.00644,282.451416
18-12-2024,282.14166,280.64
19-12-2024,280.90192,281.91
20-12-2024,283.9293,281.1
21-12-2024,284.0642,281.42
time,actual,predicted
22-12-2024,283.00507,281.1
23-12-2024,284.30634,281.168
24-12-2024,284.43182,282.37
25-12-2024,283.72913,282.3622131
26-12-2024,284.19565,281.989624
27-12-2024,287.05008,281.7327271
28-12-2024,287.27713,281.9011536
29-12-2024,286.41608,282.2191772
30-12-2024,283.37665,282.1741333
31-12-2024,281.90262,281.9487915
