date,y_true,y_pred
09-09-2024,72.035675,82.36084
10-09-2024,74.75021,77.203186
11-09-2024,70.98592,76.93896
12-09-2024,72.29866,75.16133
13-09-2024,88.73285,75.22877
14-09-2024,92.33888,84.811035
15-09-2024,93.872505,88.83968
16-09-2024,78.65,89.908585
17-09-2024,85.4012,83.450485
18-09-2024,88.84716,83.09237
19-09-2024,89.48499,88.04123
20-09-2024,86.40371,89.123665
21-09-2024,93.919266,87.16392
22-09-2024,84.809166,90.5211
23-09-2024,87.764656,86.280334
24-09-2024,91.00183,87.1016
25-09-2024,89.15083,89.37059
26-09-2024,92.9877,88.718895
27-09-2024,89.41542,90.20898
28-09-2024,91.98255,88.68088
29-09-2024,87.342316,89.877205
30-09-2024,87.804535,87.924995
01-10-2024,87.71229,87.94834
02-10-2024,90.11229,87.93499
03-10-2024,81.3434,89.22713
04-10-2024,86.401215,83.94114
05-10-2024,87.9907,87.012314
06-10-2024,92.6258,87.89463
07-10-2024,90.5642,90.52953
08-10-2024,92.127716,88.98705
09-10-2024,92.75606,90.00737
10-10-2024,91.79723,90.22983
11-10-2024,93.31987,90.327995
12-10-2024,89.91117,91.015366
13-10-2024,88.563225,89.29652
14-10-2024,94.63044,88.53866
15-10-2024,92.25889,91.63119
16-10-2024,94.78977,90.639275
17-10-2024,94.318726,91.70038
18-10-2024,93.84688,91.72084
19-10-2024,93.78553,91.65891
20-10-2024,94.50819,91.5002
21-10-2024,92.321236,92.02738
22-10-2024,93.26893,90.846794
23-10-2024,93.35612,91.203224
24-10-2024,91.25946,91.320435
25-10-2024,91.23682,90.18464
26-10-2024,89.213585,89.96105
27-10-2024,89.63234,88.96534
28-10-2024,91.24118,89.14888
29-10-2024,92.46762,89.909584
30-10-2024,93.49045,90.59609
31-10-2024,91.36689,91.06154
01-11-2024,94.83978,89.99462
02-11-2024,93.622696,91.86335
03-11-2024,93.775925,91.41589
04-11-2024,86.55121,91.52145
05-11-2024,85.85645,87.57972
06-11-2024,85.99038,86.96482
07-11-2024,88.618355,86.70097
08-11-2024,83.729996,88.58518
09-11-2024,85.49441,85.573105
10-11-2024,84.811165,86.596695
11-11-2024,84.37606,85.72489
12-11-2024,92.67397,85.10202
13-11-2024,92.71605,89.60443
14-11-2024,91.307625,89.92333
15-11-2024,92.98745,89.15116
16-11-2024,90.07234,90.5918
17-11-2024,83.11334,89.459045
18-11-2024,81.96331,85.1144
19-11-2024,80.37497,84.01555
20-11-2024,80.172485,82.31926
21-11-2024,78.19895,82.28242
22-11-2024,83.69484,81.014
23-11-2024,89.123856,83.775444
24-11-2024,87.34615,87.38133
25-11-2024,82.97532,87.11185
26-11-2024,87.71969,84.565636
27-11-2024,77.564354,85.87409
28-11-2024,80.14975,80.603676
29-11-2024,93.34962,81.14972
30-11-2024,93.3477,89.22999
01-12-2024,87.76936,90.908394
02-12-2024,89.74359,87.5958
03-12-2024,87.70947,89.042534
04-12-2024,92.915955,87.405685
05-12-2024,96.3736,90.189354
06-12-2024,94.56309,92.45963
07-12-2024,94.1945,91.67097
08-12-2024,93.87357,91.564995
09-12-2024,90.50024,91.76771
10-12-2024,89.29994,90.00345
11-12-2024,84.58696,89.10598
12-12-2024,85.51643,86.50783
13-12-2024,85.476685,86.399895
14-12-2024,83.74069,86.537735
15-12-2024,84.033676,85.18172
16-12-2024,80.880135,85.5302
17-12-2024,85.80775,83.191925
18-12-2024,89.15913,85.66705
19-12-2024,94.03883,88.01134
20-12-2024,93.08483,90.24649
21-12-2024,92.58204,90.10111
time,Actual,predicted
22-12-2024,90.41376,90.13198
23-12-2024,90.02722,89.22508
24-12-2024,90.46124,89.32771
25-12-2024,92.89366,89.54482
26-12-2024,94.18005,90.91448
27-12-2024,86.91093,91.49817
28-12-2024,86.404686,87.51962
29-12-2024,85.418236,87.187965
30-12-2024,90.39438,86.398026
31-12-2024,85.69714,89.614655
