date,y_true,y_pred
09-09-2024,82.816925,82.86248
10-09-2024,85.56271,82.85451
11-09-2024,83.67342,83.72057
12-09-2024,81.98616,83.84285
13-09-2024,79.73285,82.98344
14-09-2024,81.37013,81.740944
15-09-2024,81.903755,82.04191
16-09-2024,83.275,81.98153
17-09-2024,85.9637,82.612404
18-09-2024,83.53466,83.06756
19-09-2024,77.82874,83.049385
20-09-2024,80.90371,81.2068
21-09-2024,86.513016,81.44058
22-09-2024,84.840416,83.55888
23-09-2024,87.733406,83.80518
24-09-2024,92.15808,84.001366
25-09-2024,86.90083,85.56701
26-09-2024,91.2377,85.45105
27-09-2024,87.44667,86.49621
28-09-2024,82.6388,86.45961
29-09-2024,83.217316,85.67861
30-09-2024,85.304535,84.57964
01-10-2024,91.58729,85.50699
02-10-2024,90.86229,86.65773
03-10-2024,87.0309,86.93006
04-10-2024,80.682465,86.05185
05-10-2024,83.52195,83.84516
06-10-2024,81.46955,84.3213
07-10-2024,89.15795,83.43991
08-10-2024,85.908966,85.82378
09-10-2024,82.94356,84.94217
10-10-2024,86.89098,84.37218
11-10-2024,90.88237,83.77269
12-10-2024,87.53617,86.35451
13-10-2024,87.000725,85.829
14-10-2024,90.03669,85.67302
15-10-2024,86.66514,86.26059
16-10-2024,88.57102,86.36024
17-10-2024,90.006226,86.49185
18-10-2024,84.72188,87.06537
19-10-2024,88.84803,86.31434
20-10-2024,88.25819,86.27712
21-10-2024,86.696236,86.66976
22-10-2024,84.95643,86.56301
23-10-2024,84.73112,85.344795
24-10-2024,80.32196,85.37879
25-10-2024,84.98682,83.26473
26-10-2024,81.901085,84.39448
27-10-2024,80.00734,83.28895
28-10-2024,82.99118,82.58574
29-10-2024,83.59262,82.35765
30-10-2024,84.24045,83.01228
31-10-2024,80.64814,82.85799
01-11-2024,74.40228,82.29056
02-11-2024,83.372696,79.91541
03-11-2024,70.588425,81.24606
04-11-2024,72.83246,77.815605
05-11-2024,72.23145,76.37152
06-11-2024,71.61538,75.77071
07-11-2024,63.368355,75.71698
08-11-2024,68.636246,72.94923
09-11-2024,71.46316,72.917145
10-11-2024,63.904915,73.57288
11-11-2024,70.78231,72.24239
12-11-2024,66.17397,71.98173
13-11-2024,66.52855,72.42936
14-11-2024,71.995125,71.5245
15-11-2024,62.92495,72.48586
16-11-2024,74.32234,71.97564
17-11-2024,75.80084,72.25737
18-11-2024,77.65081,74.79394
19-11-2024,66.93747,76.14107
20-11-2024,64.797485,73.61781
21-11-2024,75.57395,72.98874
22-11-2024,76.63234,74.585884
23-11-2024,77.186356,76.11398
24-11-2024,77.40865,75.55703
25-11-2024,75.10032,76.51386
26-11-2024,64.90719,76.70973
27-11-2024,66.189354,73.91375
28-11-2024,60.837254,73.50509
29-11-2024,61.474617,72.22888
30-11-2024,60.535202,70.99504
01-12-2024,65.55061,69.91592
02-12-2024,72.49359,69.684814
03-12-2024,69.02197,71.25524
04-12-2024,74.415955,71.644005
05-12-2024,81.9986,72.83445
06-12-2024,87.37559,76.21518
07-12-2024,71.132,79.34656
08-12-2024,56.623573,76.83773
09-12-2024,60.937737,73.45096
10-12-2024,55.42494,72.04063
11-12-2024,70.02446,70.13661
12-12-2024,71.82893,70.64942
13-12-2024,70.226685,71.85003
14-12-2024,61.803192,71.90085
15-12-2024,68.158676,70.15665
16-12-2024,64.192635,71.637276
17-12-2024,62.807747,71.4747
18-12-2024,65.72163,70.51577
19-12-2024,81.28883,70.580475
20-12-2024,89.20983,74.18802
21-12-2024,81.26954,78.502625
time,Actual,predicted
22-12-2024,83.66376,79.90149
23-12-2024,84.77722,79.07553
24-12-2024,70.21124,81.06566
25-12-2024,60.95616,78.25607
26-12-2024,72.68005,73.73431
27-12-2024,78.91093,74.57598
28-12-2024,84.529686,76.83604
29-12-2024,78.543236,78.88319
30-12-2024,72.58188,79.100426
31-12-2024,75.13464,76.4614
