date,y_true,y_pred
09-09-2024,100474.17,100578.836
10-09-2024,100418.71,100447.85
11-09-2024,100543.69,100427.805
12-09-2024,100689.89,100580.68
13-09-2024,100669.61,100684.58
14-09-2024,100564.484,100623.47
15-09-2024,100538.57,100526.055
16-09-2024,100593.56,100536.44
17-09-2024,100616.28,100588.35
18-09-2024,100437.86,100597.836
19-09-2024,100586.44,100421.375
20-09-2024,100513.86,100600.51
21-09-2024,100484.586,100503.164
22-09-2024,100478.38,100460.98
23-09-2024,100377.22,100482.43
24-09-2024,100303.75,100400.69
25-09-2024,100336.125,100318.78
26-09-2024,100427.2,100388.47
27-09-2024,100614.945,100468.02
28-09-2024,100780.414,100627.91
29-09-2024,100920.34,100739.52
30-09-2024,100969.414,100869.38
01-10-2024,100799.14,100930.22
02-10-2024,100750.69,100767.06
03-10-2024,100680.81,100731.21
04-10-2024,100668.016,100666.72
05-10-2024,100721.79,100657.086
06-10-2024,100749.836,100721.484
07-10-2024,100935.5,100756.914
08-10-2024,101028.5,100913.03
09-10-2024,100905.33,101005.65
10-10-2024,100792.31,100862.63
11-10-2024,100729.234,100787.766
12-10-2024,100810.38,100737.42
13-10-2024,100849.79,100790.7
14-10-2024,100758.83,100840.62
15-10-2024,100672.586,100764.086
16-10-2024,100586.95,100670.04
17-10-2024,100598.47,100592.91
18-10-2024,100690.47,100601.82
19-10-2024,100830.67,100691.09
20-10-2024,101008.3,100821.9
21-10-2024,101001.04,100982.74
22-10-2024,101014.08,100967.02
23-10-2024,100876.35,101002.27
24-10-2024,100794.47,100889.67
25-10-2024,100785.82,100790.27
26-10-2024,100809.41,100780.94
27-10-2024,100769.69,100811.12
28-10-2024,100666.19,100768.59
29-10-2024,100755.13,100665.8
30-10-2024,100793.42,100766.81
31-10-2024,100932.695,100758.87
01-11-2024,101056.805,100897.07
02-11-2024,101126.43,101038.85
03-11-2024,101141.78,101097.75
04-11-2024,101057.77,101132.37
05-11-2024,101068.44,101069.66
06-11-2024,101014.61,101077.31
07-11-2024,100967.71,101019.57
08-11-2024,101020,100954.484
09-11-2024,101053.25,101020.04
10-11-2024,101056.555,101046.62
11-11-2024,100948.97,101040.1
12-11-2024,100814.36,100948.03
13-11-2024,100761.89,100819.81
14-11-2024,100914.555,100770.72
15-11-2024,101018.58,100921.086
16-11-2024,101002.87,101013.16
17-11-2024,100999.266,100989.945
18-11-2024,101000.92,101022.02
19-11-2024,101123.8,101015.08
20-11-2024,101111.625,101114.13
21-11-2024,101037.95,101100.33
22-11-2024,101074.35,101031.07
23-11-2024,101092.99,101087.56
24-11-2024,101179.6,101092.39
25-11-2024,101031.31,101154.52
26-11-2024,100860.16,101032.06
27-11-2024,100733.445,100866.9
28-11-2024,100656.82,100756.83
29-11-2024,100602.33,100703.43
30-11-2024,100261.52,100645.38
01-12-2024,100082.77,100383.98
02-12-2024,100398.61,100254.945
03-12-2024,100784.375,100579
04-12-2024,100933.484,100809.2
05-12-2024,101035.18,100869.266
06-12-2024,101055.62,100994.12
07-12-2024,101004.33,100991.85
08-12-2024,101044.48,101030.79
09-12-2024,100993.82,101071.43
10-12-2024,100923.266,101002.7
11-12-2024,100957.65,100911.23
12-12-2024,100826.016,100965.984
13-12-2024,100986.83,100816.35
14-12-2024,101179.195,100985.1
15-12-2024,101232,101145.86
16-12-2024,101208.99,101178.305
17-12-2024,100975.83,101183.57
18-12-2024,100918,101018.19
19-12-2024,100828.01,100941.59
20-12-2024,100734.23,100828.8
21-12-2024,100783.57,100754.52
time,Actual,predicted
22-12-2024,100976,100816.27
23-12-2024,101037.09,101002.4
24-12-2024,100884.7,101007.2
25-12-2024,100995.3,100822.48
26-12-2024,101152.164,101015.84
27-12-2024,101371.875,101140.69
28-12-2024,101417.49,101290.29
29-12-2024,101389.91,101332.83
30-12-2024,101271.67,101350.52
31-12-2024,101391.414,101262.64
