date,y_true,y_pred
09-09-2024,100487.17,100644.49
10-09-2024,100347.71,100446.164
11-09-2024,100435.69,100359.61
12-09-2024,100608.89,100486.27
13-09-2024,100657.61,100619.4
14-09-2024,100637.484,100625.625
15-09-2024,100681.57,100611.31
16-09-2024,100776.56,100668.84
17-09-2024,100871.28,100737.01
18-09-2024,100680.86,100814.11
19-09-2024,100704.44,100621.36
20-09-2024,100690.86,100705.61
21-09-2024,100762.586,100676.51
22-09-2024,100785.38,100723.8
23-09-2024,100654.22,100773.07
24-09-2024,100420.75,100638.336
25-09-2024,100360.125,100419.83
26-09-2024,100253.2,100418.08
27-09-2024,100215.945,100304.1
28-09-2024,100572.414,100256.84
29-09-2024,100886.34,100616.33
30-09-2024,100989.414,100832.59
01-10-2024,100787.14,100875.26
02-10-2024,100766.69,100751.12
03-10-2024,100876.81,100770.805
04-10-2024,100847.016,100887.06
05-10-2024,100893.79,100813.39
06-10-2024,100929.836,100882.625
07-10-2024,100922.5,100934.61
08-10-2024,100941.5,100901.8
09-10-2024,100797.33,100924.484
10-10-2024,100594.31,100786.46
11-10-2024,100519.734,100602.79
12-10-2024,100681.38,100564.414
13-10-2024,100815.79,100721.62
14-10-2024,100864.83,100808.625
15-10-2024,100809.586,100844.94
16-10-2024,100826.95,100787.35
17-10-2024,100652.47,100806.94
18-10-2024,100578.47,100619.945
19-10-2024,100855.67,100575.37
20-10-2024,101034.3,100858.875
21-10-2024,101030.04,100970.75
22-10-2024,101038.08,100964.664
23-10-2024,101042.35,101020.4
24-10-2024,100894.47,101051.69
25-10-2024,100939.82,100935.93
26-10-2024,101047.41,100953.49
27-10-2024,100969.69,101041.78
28-10-2024,100755.19,100961.97
29-10-2024,100826.13,100781.12
30-10-2024,100842.42,100886.695
31-10-2024,100958.695,100843.43
01-11-2024,101032.805,100941.56
02-11-2024,101151.43,101010.58
03-11-2024,101113.78,101112.414
04-11-2024,101045.77,101112.26
05-11-2024,101095.44,101065.24
06-11-2024,101192.61,101119.67
07-11-2024,101162.71,101182.03
08-11-2024,101154,101155.33
09-11-2024,101157.25,101150.984
10-11-2024,101188.555,101172.71
11-11-2024,101229.97,101188.43
12-11-2024,101105.36,101215.41
13-11-2024,100965.89,101116.68
14-11-2024,100975.555,100990.164
15-11-2024,101048.58,101001.15
16-11-2024,101072.87,101045.89
17-11-2024,100993.266,101057.9
18-11-2024,101064.92,101002.66
19-11-2024,101251.8,101075.19
20-11-2024,101168.625,101203.36
21-11-2024,101103.95,101154
22-11-2024,101087.35,101107.47
23-11-2024,101158.99,101127.8
24-11-2024,101197.6,101163.74
25-11-2024,101178.31,101184.35
26-11-2024,101236.16,101165.64
27-11-2024,101145.445,101218.195
28-11-2024,101086.82,101164.46
29-11-2024,101132.33,101104.81
30-11-2024,100983.52,101151.945
01-12-2024,100880.77,100998.75
02-12-2024,100687.61,100906.34
03-12-2024,100781.375,100729.51
04-12-2024,100895.484,100852.07
05-12-2024,100974.18,100916.97
06-12-2024,101014.62,100972.33
07-12-2024,101014.33,100990.91
08-12-2024,101040.48,101009.54
09-12-2024,101177.82,101048.5
10-12-2024,101091.266,101166.61
11-12-2024,101141.65,101099.08
12-12-2024,101038.016,101138.99
13-12-2024,101154.83,101067.52
14-12-2024,101213.195,101153.695
15-12-2024,101356,101197.87
16-12-2024,101248.99,101271.625
17-12-2024,101195.83,101231.06
18-12-2024,101049,101208.62
19-12-2024,101025.01,101101.59
20-12-2024,101053.23,101044.555
21-12-2024,101054.57,101064.305
time,Actual,predicted
22-12-2024,101132,101058.65
23-12-2024,101161.09,101108.75
24-12-2024,101170.7,101142.984
25-12-2024,101232.3,101160.734
26-12-2024,101332.164,101213.17
27-12-2024,101387.875,101279.65
28-12-2024,101393.49,101322.22
29-12-2024,101407.91,101335.5
30-12-2024,101378.67,101358.39
31-12-2024,101408.414,101349.02
