date,y_true,y_pred
09-09-2024,100487.17,100669.734
10-09-2024,100347.71,100444.11
11-09-2024,100435.69,100323.63
12-09-2024,100608.89,100519.79
13-09-2024,100657.61,100641.15
14-09-2024,100637.484,100605.445
15-09-2024,100681.57,100635.24
16-09-2024,100776.56,100639.81
17-09-2024,100871.28,100737.86
18-09-2024,100680.86,100815.625
19-09-2024,100704.44,100613.79
20-09-2024,100690.86,100697.23
21-09-2024,100762.586,100679.93
22-09-2024,100785.38,100751.625
23-09-2024,100654.22,100759.65
24-09-2024,100420.75,100626.98
25-09-2024,100360.125,100408.664
26-09-2024,100253.2,100384.43
27-09-2024,100215.945,100246.484
28-09-2024,100572.414,100188.445
29-09-2024,100886.34,100648.21
30-09-2024,100989.414,100989.89
01-10-2024,100787.14,100949.89
02-10-2024,100766.69,100778.125
03-10-2024,100876.81,100841.33
04-10-2024,100847.016,100860.11
05-10-2024,100893.79,100709.43
06-10-2024,100929.836,100862.914
07-10-2024,100922.5,100893.56
08-10-2024,100941.5,100870.234
09-10-2024,100797.33,100916.65
10-10-2024,100594.31,100780.14
11-10-2024,100519.734,100601.484
12-10-2024,100681.38,100565.49
13-10-2024,100815.79,100773.75
14-10-2024,100864.83,100801.984
15-10-2024,100809.586,100829.375
16-10-2024,100826.95,100753.95
17-10-2024,100652.47,100757.34
18-10-2024,100578.47,100617.336
19-10-2024,100855.67,100608.04
20-10-2024,101034.3,100934.164
21-10-2024,101030.04,101006.13
22-10-2024,101038.08,100930.09
23-10-2024,101042.35,101019.12
24-10-2024,100894.47,101093.2
25-10-2024,100939.82,100834.48
26-10-2024,101047.41,100957.16
27-10-2024,100969.69,101042.195
28-10-2024,100755.19,100942.51
29-10-2024,100826.13,100787.94
30-10-2024,100842.42,100916.19
31-10-2024,100958.695,100874.13
01-11-2024,101032.805,100954.39
02-11-2024,101151.43,100993.91
03-11-2024,101113.78,101157.36
04-11-2024,101045.77,101072.805
05-11-2024,101095.44,101035.49
06-11-2024,101192.61,101092.164
07-11-2024,101162.71,101175.945
08-11-2024,101154,101104.336
09-11-2024,101157.25,101130.63
10-11-2024,101188.555,101161.79
11-11-2024,101229.97,101175.016
12-11-2024,101105.36,101188.36
13-11-2024,100965.89,101066.18
14-11-2024,100975.555,100993.625
15-11-2024,101048.58,101003.71
16-11-2024,101072.87,101055
17-11-2024,100993.266,101041.75
18-11-2024,101064.92,100975.26
19-11-2024,101251.8,101076.57
20-11-2024,101168.625,101242.14
21-11-2024,101103.95,101097.336
22-11-2024,101087.35,101080.31
23-11-2024,101158.99,101109.625
24-11-2024,101197.6,101158.27
25-11-2024,101178.31,101140.23
26-11-2024,101236.16,101148.19
27-11-2024,101145.445,101231.83
28-11-2024,101086.82,101120.9
29-11-2024,101132.33,101065.336
30-11-2024,100983.52,101114.86
01-12-2024,100880.77,100974.09
02-12-2024,100687.61,100939.71
03-12-2024,100781.375,100732.06
04-12-2024,100895.484,100890.6
05-12-2024,100974.18,100920.336
06-12-2024,101014.62,100938.26
07-12-2024,101014.33,100970.9
08-12-2024,101040.48,101016.34
09-12-2024,101177.82,101038.086
10-12-2024,101091.266,101168.664
11-12-2024,101141.65,101041.266
12-12-2024,101038.016,101129.99
13-12-2024,101154.83,101018.914
14-12-2024,101213.195,101173.73
15-12-2024,101356,101147.78
16-12-2024,101248.99,101334.586
17-12-2024,101195.83,101183.914
18-12-2024,101049,101225.47
19-12-2024,101025.01,101066.97
20-12-2024,101053.23,101034.44
21-12-2024,101054.57,101044.11
time,Actual,predicted
22-12-2024,101132,101047.48
23-12-2024,101161.09,101098.66
24-12-2024,101170.7,101149.02
25-12-2024,101232.3,101147.58
26-12-2024,101332.164,101213.695
27-12-2024,101387.875,101308.8
28-12-2024,101393.49,101330.77
29-12-2024,101407.91,101343.89
30-12-2024,101378.67,101367.94
31-12-2024,101408.414,101348.99
