date,ANN_Pred,Actual
11-08-2024,300.8753,300.09808
12-08-2024,300.7054,299.37646
13-08-2024,300.51917,299.49542
14-08-2024,300.25397,300.42264
15-08-2024,300.3283,300.3834
16-08-2024,301.2272,300.33868
17-08-2024,300.22076,301.09998
18-08-2024,298.3043,301.33533
19-08-2024,298.4335,301.4587
20-08-2024,299.54892,301.0908
21-08-2024,299.10226,300.51428
22-08-2024,299.24243,300.89615
23-08-2024,299.5777,300.86932
24-08-2024,299.57004,300.52252
25-08-2024,302.38275,300.141
26-08-2024,302.8786,300.09268
27-08-2024,300.3754,299.3511
28-08-2024,299.3195,299.23407
29-08-2024,297.5633,299.39453
30-08-2024,298.64758,299.5584
31-08-2024,298.62814,300.21292
01-09-2024,298.9671,300.79358
02-09-2024,299.65305,300.77005
03-09-2024,298.76434,300.70093
04-09-2024,297.4225,300.11288
05-09-2024,300.00406,299.02533
06-09-2024,300.68756,298.90326
07-09-2024,298.15787,299.0327
08-09-2024,296.7289,299.70468
09-09-2024,299.2697,299.97995
10-09-2024,299.9573,300.37668
11-09-2024,300.25174,299.64932
12-09-2024,305.13864,299.57346
13-09-2024,299.99683,297.13605
14-09-2024,300.3782,297.19513
15-09-2024,299.73492,298.18573
16-09-2024,297.99396,298.74698
17-09-2024,298.2756,298.93774
18-09-2024,299.73727,299.66476
19-09-2024,298.74,296.5415
20-09-2024,299.62402,298.16602
21-09-2024,298.44595,299.03976
22-09-2024,299.28528,300.05368
23-09-2024,300.56308,300.0881
24-09-2024,300.61346,300.7378
25-09-2024,299.98096,301.2738
26-09-2024,299.27133,299.9347
27-09-2024,300.4348,299.62714
28-09-2024,298.3998,297.38718
29-09-2024,299.0533,297.66937
30-09-2024,294.5127,298.7424
01-10-2024,296.61517,298.95667
02-10-2024,297.90387,299.84955
03-10-2024,297.8476,299.6806
04-10-2024,298.7847,298.85236
05-10-2024,296.4066,299.24042
06-10-2024,293.63184,298.3748
07-10-2024,292.50943,297.13025
08-10-2024,293.89633,297.14917
09-10-2024,294.25775,296.89688
10-10-2024,292.69434,296.1217
11-10-2024,294.7141,294.48407
12-10-2024,294.22333,294.59937
13-10-2024,288.97543,294.0234
14-10-2024,291.13684,294.54282
15-10-2024,292.97067,293.53748
16-10-2024,293.124,293.46042
17-10-2024,290.95596,295.25308
18-10-2024,293.64478,294.32245
19-10-2024,292.45593,294.91754
20-10-2024,294.56323,295.31952
21-10-2024,292.47543,294.75116
22-10-2024,292.29855,294.5487
23-10-2024,290.42484,295.13516
24-10-2024,291.47244,294.56934
25-10-2024,291.53305,293.21405
26-10-2024,291.17966,292.5134
27-10-2024,296.76334,293.76114
28-10-2024,296.31207,294.48676
29-10-2024,294.12082,294.86536
30-10-2024,291.71542,295.1488
31-10-2024,291.6067,295.83286
01-11-2024,292.547,293.27106
02-11-2024,291.33435,291.6394
03-11-2024,289.90732,291.54822
04-11-2024,289.6881,291.43927
05-11-2024,291.53027,291.34808
06-11-2024,290.14035,291.7384
07-11-2024,291.26337,292.50793
08-11-2024,290.6037,293.3464
09-11-2024,292.3299,293.60382
10-11-2024,291.091,293.80847
11-11-2024,289.82248,292.65173
12-11-2024,287.69366,292.54108
13-11-2024,289.7105,291.6316
14-11-2024,286.7767,290.67496
15-11-2024,285.80624,291.10132
16-11-2024,285.7897,290.11435
17-11-2024,287.29776,290.61804
18-11-2024,283.39212,288.8036
19-11-2024,284.73688,288.11127
20-11-2024,286.62894,286.84186
21-11-2024,286.05725,286.79672
22-11-2024,285.11066,286.93112
23-11-2024,285.17825,287.1546
24-11-2024,285.05054,287.51956
25-11-2024,286.1276,288.20398
26-11-2024,285.97232,287.31314
27-11-2024,286.8688,286.95386
28-11-2024,285.61337,285.7146
29-11-2024,286.34552,285.4803
30-11-2024,287.64954,285.86206
01-12-2024,287.38098,286.99332
02-12-2024,285.8431,286.437
03-12-2024,285.71512,286.27997
04-12-2024,286.135,288.00354
05-12-2024,286.2324,285.21393
06-12-2024,285.69717,284.38284
07-12-2024,287.15952,283.69165
08-12-2024,289.2286,283.77716
09-12-2024,287.24692,284.45535
10-12-2024,281.5802,283.37393
11-12-2024,284.26935,281.58798
12-12-2024,282.92102,280.53967
13-12-2024,282.78986,281.83426
14-12-2024,286.80447,281.93726
15-12-2024,284.45657,280.8782
16-12-2024,282.29984,280.70435
17-12-2024,284.11813,281.00644
18-12-2024,285.30008,282.14166
19-12-2024,285.58737,280.90192
20-12-2024,286.80847,283.9293
21-12-2024,286.53955,284.06418
22-12-2024,285.58405,283.00507
23-12-2024,286.04498,284.30634
24-12-2024,285.65256,284.43182
25-12-2024,283.75192,283.72913
26-12-2024,282.0672,284.19565
27-12-2024,286.32977,287.05008
28-12-2024,284.6201,287.27713
29-12-2024,280.66678,286.41608
30-12-2024,282.07944,283.37665
31-12-2024,279.68796,281.90262
