date,HybridQNNSE_Pred,Actual
11-08-2024,300.202759,300.09808
12-08-2024,299.71524,299.37646
13-08-2024,299.484436,299.49542
14-08-2024,299.828094,300.42264
15-08-2024,300.095947,300.3834
16-08-2024,299.515076,300.33868
17-08-2024,299.562347,301.09998
18-08-2024,299.81665,301.33533
19-08-2024,299.604248,301.4587
20-08-2024,300.179352,301.0908
21-08-2024,299.988831,300.51428
22-08-2024,299.028992,300.89615
23-08-2024,300.040344,300.86932
24-08-2024,300.069855,300.52252
25-08-2024,300.465698,300.141
26-08-2024,300.689148,300.09268
27-08-2024,300.185059,299.3511
28-08-2024,299.400299,299.23407
29-08-2024,299.544952,299.39453
30-08-2024,300.055481,299.5584
31-08-2024,299.821777,300.21292
01-09-2024,299.722778,300.79358
02-09-2024,299.462189,300.77005
03-09-2024,299.614349,300.70093
04-09-2024,298.77066,300.11288
05-09-2024,299.690674,299.02533
06-09-2024,300.029388,298.90326
07-09-2024,299.643372,299.0327
08-09-2024,299.489166,299.70468
09-09-2024,300.400635,299.97995
10-09-2024,300.343658,300.37668
11-09-2024,300.456604,299.64932
12-09-2024,300.21106,299.57346
13-09-2024,298.717133,297.13605
14-09-2024,299.953613,297.19513
15-09-2024,299.389191,298.18573
16-09-2024,298.962219,298.74698
17-09-2024,297.004395,298.93774
18-09-2024,299.501526,299.66476
19-09-2024,299.893066,296.5415
20-09-2024,298.669403,298.16602
21-09-2024,298.717468,299.03976
22-09-2024,299.718262,300.05368
23-09-2024,299.496155,300.0881
24-09-2024,299.876862,300.7378
25-09-2024,300.305237,301.2738
26-09-2024,299.553864,299.9347
27-09-2024,300.494232,299.62714
28-09-2024,300.17337,297.38718
29-09-2024,298.803162,297.66937
30-09-2024,294.720795,298.7424
01-10-2024,296.065216,298.95667
02-10-2024,298.408844,299.84955
03-10-2024,299.202881,299.6806
04-10-2024,300.321625,298.85236
05-10-2024,297.243713,299.24042
06-10-2024,293.791687,298.3748
07-10-2024,291.925751,297.13025
08-10-2024,295.095215,297.14917
09-10-2024,295.231628,296.89688
10-10-2024,293.834503,296.1217
11-10-2024,294.573334,294.48407
12-10-2024,295.975952,294.59937
13-10-2024,286.605164,294.0234
14-10-2024,293.039368,294.54282
15-10-2024,292.251038,293.53748
16-10-2024,293.922577,293.46042
17-10-2024,290.307556,295.25308
18-10-2024,294.357239,294.32245
19-10-2024,291.669189,294.91754
20-10-2024,296.159637,295.31952
21-10-2024,292.578918,294.75116
22-10-2024,292.138367,294.5487
23-10-2024,290.898987,295.13516
24-10-2024,290.592468,294.56934
25-10-2024,292.338501,293.21405
26-10-2024,291.17981,292.5134
27-10-2024,297.140991,293.76114
28-10-2024,296.619751,294.48676
29-10-2024,294.219849,294.86536
30-10-2024,290.381256,295.1488
31-10-2024,292.357971,295.83286
01-11-2024,290.535522,293.27106
02-11-2024,293.709839,291.6394
03-11-2024,289.523682,291.54822
04-11-2024,290.976807,291.43927
05-11-2024,292.719818,291.34808
06-11-2024,290.891815,291.7384
07-11-2024,292.155762,292.50793
08-11-2024,290.902222,293.3464
09-11-2024,293.603485,293.60382
10-11-2024,292.615845,293.80847
11-11-2024,289.651398,292.65173
12-11-2024,287.192261,292.54108
13-11-2024,291.523895,291.6316
14-11-2024,286.842529,290.67496
15-11-2024,284.726227,291.10132
16-11-2024,284.24469,290.11435
17-11-2024,287.412445,290.61804
18-11-2024,282.792816,288.8036
19-11-2024,285.27887,288.11127
20-11-2024,287.374481,286.84186
21-11-2024,286.647125,286.79672
22-11-2024,285.22467,286.93112
23-11-2024,284.686249,287.1546
24-11-2024,285.616486,287.51956
25-11-2024,286.621399,288.20398
26-11-2024,285.389221,287.31314
27-11-2024,286.626312,286.95386
28-11-2024,287.130127,285.7146
29-11-2024,288.669434,285.4803
30-11-2024,288.862854,285.86206
01-12-2024,288.445862,286.99332
02-12-2024,285.157166,286.437
03-12-2024,286.15918,286.27997
04-12-2024,285.722412,288.00354
05-12-2024,285.901733,285.21393
06-12-2024,285.245209,284.38284
07-12-2024,287.767273,283.69165
08-12-2024,287.531525,283.77716
09-12-2024,283.979797,284.45535
10-12-2024,283.110687,283.37393
11-12-2024,283.992462,281.58798
12-12-2024,283.649628,280.53967
13-12-2024,283.83844,281.83426
14-12-2024,285.384399,281.93726
15-12-2024,284.862885,280.8782
16-12-2024,283.302216,280.70435
17-12-2024,283.44931,281.00644
18-12-2024,284.608398,282.14166
19-12-2024,284.696198,280.90192
20-12-2024,286.94989,283.9293
21-12-2024,287.461761,284.06418
22-12-2024,285.185089,283.00507
23-12-2024,285.363312,284.30634
24-12-2024,285.388733,284.43182
25-12-2024,284.088806,283.72913
26-12-2024,283.106567,284.19565
27-12-2024,286.850342,287.05008
28-12-2024,285.648468,287.27713
29-12-2024,282.707703,286.41608
30-12-2024,282.739075,283.37665
31-12-2024,282.850006,281.90262
