Datetime,T2M,QLSTM
08-05-2025 01:00:00,27.6,27.94053007
08-05-2025 02:00:00,28.13333333,28.0385441
08-05-2025 03:00:00,28.66666667,29.11069956
08-05-2025 04:00:00,29.2,30.24413666
08-05-2025 05:00:00,31.93333333,31.77280586
08-05-2025 06:00:00,34.66666667,34.50615046
08-05-2025 07:00:00,37.4,38.48265376
08-05-2025 08:00:00,38.4,38.92612674
08-05-2025 09:00:00,39.4,39.07814458
08-05-2025 10:00:00,40.4,40.77196043
08-05-2025 11:00:00,40,39.68229684
08-05-2025 12:00:00,39.6,39.28071177
08-05-2025 13:00:00,39.2,39.36588098
08-05-2025 14:00:00,37.36666667,36.05498782
08-05-2025 15:00:00,35.53333333,34.35078924
08-05-2025 16:00:00,33.7,33.31451509
08-05-2025 17:00:00,32.96666667,32.27230464
08-05-2025 18:00:00,32.23333333,32.44877045
08-05-2025 19:00:00,31.5,30.87749006
08-05-2025 20:00:00,30.76666667,29.79844003
08-05-2025 21:00:00,30.03333333,31.0381315
08-05-2025 22:00:00,29.3,29.14521557
08-05-2025 23:00:00,28.9,28.946295
09-05-2025 00:00:00,28.5,27.52324185
09-05-2025 01:00:00,28.1,27.72679001
09-05-2025 02:00:00,29.03333333,29.10937803
09-05-2025 03:00:00,29.96666667,29.17758523
09-05-2025 04:00:00,30.9,31.15756558
09-05-2025 05:00:00,32.36666667,31.95488953
09-05-2025 06:00:00,33.83333333,33.63335817
09-05-2025 07:00:00,35.3,34.88749073
09-05-2025 08:00:00,34.4,35.66985795
09-05-2025 09:00:00,33.5,33.49074677
09-05-2025 10:00:00,32.6,31.87486992
09-05-2025 11:00:00,31.7,32.26390838
09-05-2025 12:00:00,30.8,29.96303176
09-05-2025 13:00:00,29.9,30.04318967
09-05-2025 14:00:00,28.23333333,26.88985118
09-05-2025 15:00:00,26.56666667,25.65610819
09-05-2025 16:00:00,24.9,25.03496126
09-05-2025 17:00:00,24.7,25.20626718
09-05-2025 18:00:00,24.5,24.61748417
09-05-2025 19:00:00,24.3,24.22071553
09-05-2025 20:00:00,23.9,23.69357371
09-05-2025 21:00:00,23.5,22.48637639
09-05-2025 22:00:00,23.1,22.60649967
09-05-2025 23:00:00,22.76666667,22.45086864
10-05-2025 00:00:00,22.43333333,23.15805982
10-05-2025 01:00:00,22.1,22.33557283
